,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
4,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1
7,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0
8,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1
9,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1
10,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1
11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0
17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1
22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
24,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1
25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1
30,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1
31,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1
32,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
33,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1
34,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1
37,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
38,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
41,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0
42,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
44,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1
45,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0
47,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0
48,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1
49,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0
50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
51,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
53,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0
54,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0
55,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1
56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1
59,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1
62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
65,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
66,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1
67,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1
70,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1
71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
73,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
75,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
77,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1
78,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0
79,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1
80,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
82,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1
83,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1
84,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
86,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1
87,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0
88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1
90,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
91,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1
92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
94,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
95,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
96,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0
105,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1
106,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
110,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
111,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1
112,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
113,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1
114,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1
115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1
117,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1
118,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
